country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8603631
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,8605761
Germany,Berlin,Mitte,Osloer Straße,8608114
Germany,Berlin,Mitte,Moabit West,8608507
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,8608580
Germany,Berlin,Mitte,Brunnenstr. Nord,8608584
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,8611133
Germany,Berlin,Pankow,Prenzlauer Berg Nord,8618545
Germany,Berlin,Mitte,Parkviertel,8619207
Germany,Berlin,Mitte,Moabit West,8619680
Germany,Berlin,Pankow,Weißensee,8620446
Germany,Berlin,Charlottenburg-Wilm.,Volkspark Wilmersdorf,8622008
Germany,Berlin,Neukölln,Rixdorf,8623680
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,8627795
Germany,Berlin,Neukölln,Schillerpromenade,8628173
Germany,Berlin,Neukölln,Rixdorf,8630978
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8639040
Germany,Berlin,Mitte,Parkviertel,8641300
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8642908
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8645626
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,8646165
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8647677
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8649599
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,8656888
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,8657711
Germany,Berlin,Pankow,Helmholtzplatz,8657918
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8663416
Germany,Berlin,Charlottenburg-Wilm.,Grunewald,8663668
Germany,Berlin,Treptow - Köpenick,Baumschulenweg,8669356
Germany,Berlin,Steglitz - Zehlendorf,Zehlendorf  Nord,8676968
Germany,Berlin,Neukölln,Buckow,8677779
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8678320
Germany,Berlin,Pankow,Prenzlauer Berg Ost,8678997
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8679020
Germany,Berlin,Mitte,Wedding Zentrum,8679726
Germany,Berlin,Mitte,Brunnenstr. Nord,8680184
Germany,Berlin,Pankow,Prenzlauer Berg Nord,8680431
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8681790
Germany,Berlin,Mitte,Alexanderplatz,8681930
Germany,Berlin,Neukölln,Reuterstraße,8685162
Germany,Berlin,Reinickendorf,West 4,8686158
Germany,Berlin,Neukölln,Reuterstraße,8686599
Germany,Berlin,Lichtenberg,Alt-Lichtenberg,8696900
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8699160
Germany,Berlin,Mitte,Moabit West,8699424
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,8699735
Germany,Berlin,Charlottenburg-Wilm.,Kantstraße,8699946
